 threshold     recall        fpr   accuracy  precision
-------------------------------------------------------
      0.01     85.7%     33.3%     76.2%     72.0%
      0.02     84.7%     31.3%     76.7%     73.0%
      0.03     84.7%     31.3%     76.7%     73.0%
      0.04     84.3%     31.0%     76.7%     73.1%
      0.05     83.7%     30.7%     76.5%     73.2%
      0.06     83.7%     30.7%     76.5%     73.2%
      0.07     83.3%     30.7%     76.3%     73.1%
      0.08     82.7%     30.7%     76.0%     72.9%
      0.09     82.7%     30.7%     76.0%     72.9%
      0.10     79.7%     25.0%     77.3%     76.1%
      0.11     78.7%     24.3%     77.2%     76.4%
      0.12     78.7%     24.3%     77.2%     76.4%
      0.13     78.7%     24.3%     77.2%     76.4%
      0.14     78.3%     24.0%     77.2%     76.5%
      0.15     77.0%     23.0%     77.0%     77.0%
      0.16     77.0%     22.3%     77.3%     77.5%
      0.17     76.3%     22.0%     77.2%     77.6%
      0.18     76.0%     22.0%     77.0%     77.6%
      0.19     75.7%     22.0%     76.8%     77.5%
      0.20     75.7%     21.7%     77.0%     77.7%
      0.21     75.7%     21.7%     77.0%     77.7%
      0.22     75.3%     21.0%     77.2%     78.2%
      0.23     74.3%     20.7%     76.8%     78.2%
      0.24     74.3%     20.7%     76.8%     78.2%
      0.25     74.3%     20.0%     77.2%     78.8%
      0.26     74.3%     19.7%     77.3%     79.1%
      0.27     74.3%     19.7%     77.3%     79.1%
      0.28     73.3%     19.0%     77.2%     79.4%
      0.29     72.0%     18.0%     77.0%     80.0%
      0.30     72.0%     18.0%     77.0%     80.0%
      0.31     62.0%     15.3%     73.3%     80.2%
      0.32     62.0%     15.3%     73.3%     80.2%
      0.33     62.0%     15.3%     73.3%     80.2%
      0.34     62.0%     15.3%     73.3%     80.2%
      0.35     62.0%     15.3%     73.3%     80.2%
      0.36     62.0%     15.3%     73.3%     80.2%
      0.37     61.7%     15.3%     73.2%     80.1%
      0.38     61.0%     15.3%     72.8%     79.9%
      0.39     61.0%     15.3%     72.8%     79.9%
      0.40     55.7%     15.0%     70.3%     78.8%
      0.41     55.7%     15.0%     70.3%     78.8%
      0.42     55.3%     15.0%     70.2%     78.7%
      0.43     54.7%     15.0%     69.8%     78.5%
      0.44     54.3%     15.0%     69.7%     78.4%
      0.45     51.7%     15.0%     68.3%     77.5%
      0.46     51.7%     15.0%     68.3%     77.5%
      0.47     50.0%     14.0%     68.0%     78.1%
      0.48     49.7%     14.0%     67.8%     78.0%
      0.49     49.0%     12.7%     68.2%     79.5%
      0.50     48.0%     11.7%     68.2%     80.4%
      0.51     47.3%     10.3%     68.5%     82.1%
      0.52     47.3%     10.3%     68.5%     82.1%
      0.53     47.3%     10.3%     68.5%     82.1%
      0.54     47.3%     10.3%     68.5%     82.1%
      0.55     47.3%     10.3%     68.5%     82.1%
      0.56     47.3%      9.7%     68.8%     83.0%
      0.57     47.3%      8.3%     69.5%     85.0%
      0.58     47.3%      7.7%     69.8%     86.1%
      0.59     47.3%      6.7%     70.3%     87.7%
      0.60     46.7%      4.3%     71.2%     91.5%
      0.61     46.7%      4.3%     71.2%     91.5%
      0.62     45.7%      4.3%     70.7%     91.3%
      0.63     45.7%      4.3%     70.7%     91.3%
      0.64     45.7%      4.3%     70.7%     91.3%
      0.65     45.7%      4.3%     70.7%     91.3%
      0.66     45.3%      4.3%     70.5%     91.3%
      0.67     45.0%      4.3%     70.3%     91.2%
      0.68     45.0%      4.3%     70.3%     91.2%
      0.69     45.0%      4.3%     70.3%     91.2%
      0.70     45.0%      4.3%     70.3%     91.2%
      0.71     45.0%      4.3%     70.3%     91.2%
      0.72     45.0%      4.3%     70.3%     91.2%
      0.73     45.0%      4.3%     70.3%     91.2%
      0.74     45.0%      4.3%     70.3%     91.2%
      0.75     45.0%      4.3%     70.3%     91.2%
      0.76     43.7%      4.3%     69.7%     91.0%
      0.77     42.7%      4.0%     69.3%     91.4%
      0.78     42.0%      3.7%     69.2%     92.0%
      0.79     41.3%      3.0%     69.2%     93.2%
      0.80     39.3%      2.7%     68.3%     93.7%
      0.81     32.3%      1.3%     65.5%     96.0%
      0.82     32.3%      1.3%     65.5%     96.0%
      0.83     32.3%      1.3%     65.5%     96.0%
      0.84     32.3%      1.3%     65.5%     96.0%
      0.85     32.3%      1.3%     65.5%     96.0%
      0.86     32.3%      1.3%     65.5%     96.0%
      0.87     32.0%      1.3%     65.3%     96.0%
      0.88     31.3%      1.3%     65.0%     95.9%
      0.89     30.0%      1.3%     64.3%     95.7%
      0.90     18.7%      0.7%     59.0%     96.6%
      0.91     18.7%      0.7%     59.0%     96.6%
      0.92     18.7%      0.7%     59.0%     96.6%
      0.93     18.7%      0.7%     59.0%     96.6%
      0.94     18.3%      0.7%     58.8%     96.5%
      0.95     10.7%      0.3%     55.2%     97.0%
      0.96     10.3%      0.3%     55.0%     96.9%
      0.97      4.0%      0.0%     52.0%    100.0%
      0.98      3.7%      0.0%     51.8%    100.0%
      0.99      1.7%      0.0%     50.8%    100.0%

No threshold in this sweep met BOTH recall>=85% and FPR<15% simultaneously.
Best OVERALL ACCURACY threshold instead (may not meet both targets):
  threshold=0.1  recall=79.7%  fpr=25.0%  accuracy=77.3%
